,Title,Date,Content,preprocessed_content
173,Dads urge speedy process for subdividing prvt lots,"APRIL 2, 2023","  Members of the Baguio City Council, during the regular session last March 27, called on the City Planning and Development Office (CPDO) to relax the process and requirements in subdividing titled residential lots.
The councilors stressed that the cumbersome process and excessive requirements place too much burden on applicants who simply want to partition their lots for residential purposes. 
Councilor Jose Molintas said the applicants are required by the CPDO to submit a development plan for the issuance of a development permit with total fees amounting to P1,500. All these requirements and fees when the applicants only intend to subdivide the lot into two, he said. 
Councilor Benny Bomogao said all the cumbersome procedures are in contravention with the Ease of Doing Business Act.
The councilors claimed the onerous process undertaken by the CPDO in subdividing residential lots can be traced to the office’s misinterpretation of Ordinance 63 s. 2016.
Asked about the legal basis for all these requirements, Elias Aoanan, CPDO representative, cited Section 22 of the ordinance which states that “…all owners and/or developers of subdivision projects shall, in addition to securing a locational clearance, be required to secure a development permit…”
The councilors said the CPDO should know the difference between “subdividing a simple residential lot” and “subdividing a lot for commercial purposes.” While the latter requires the issuance of a locational clearance and a development permit as prescribed in the ordinance, the former does not require such as it has no legal basis. 
Councilor Isabelo Cosalan Jr. said the concerned offices should fully understand the law in order to implement it based on its actual intent.  
Aoanan said they had already waived some of the requirements such as the submission of a topographic map. 
Meanwhile, representatives of the Department of Environment and Natural Resources said they only require the updated copy of the title, a geodetic engineer waiver, and a verification fee of not more than P25 for the approval of the subdivision of a titled lot into two which is not intended for commercial and selling purposes.
During the session, it was also made clear that the power to approve subdivision plans for residential, commercial, or industrial purposes and other development purposes is granted to the city council.
Under Section 447 of the Local Government Code, the Sangguniang Panlungsod shall “process and approve subdivision plans for residential, commercial, or industrial purposes and other development purposes.”
Also, Executive Order 71 states the local government unit shall approve the “subdivision schemes and development plans of all subdivisions, residential commercial, industrial and for other purposes of the public and private sectors” in accordance with the provisions of Presidential Decree 957, as amended.
This is one of the powers of the Housing and Land Use Regulatory Board devolved to the local government unit by virtue of EO 71.
Cosalan questioned the approval of the DENR for subdivision surveys/plans when the application did not pass through the preliminary approval of the council and the CPDO.
The DENR representatives explained that they have Presidential Decree 957 and Batasang Pambansa 220 as their legal bases in approving subdivision surveys/plans.
Cosalan said all these procedures in approving subdivision plans/surveys and simple subdivision undertaken both by the DENR and the city government should be “harmonized.”
The city council, through a resolution, urged the CPDO to convene the city’s subdivision monitoring team to create a flowchart detailing the procedures in approving subdivision plans. The flowchart should indicate that simple subdivision of residential lots should not pass through the process as required by Ordinance 63, s. 2016. – Jordan G. Habbiling  ",city council session city development office cpdo process requirements subdividing titled residential lots councilors cumbersome process requirements applicants lots residential purposes councilor said applicants required cpdo development issuance development permit fees requirements fees applicants lot two said councilor said cumbersome procedures councilors process undertaken cpdo subdividing residential lots office ordinance legal basis requirements aoanan cpdo section ordinance states subdivision shall locational clearance required development permit councilors said cpdo subdividing simple residential lot subdividing lot commercial purposes issuance locational clearance development permit ordinance require legal basis councilor cosalan said order aoanan said requirements representatives said require approval subdivision titled lot two commercial purposes session also approve subdivision plans residential commercial industrial purposes development purposes city council section local government shall process approve subdivision plans residential commercial industrial purposes development purposes also order states local government unit shall approve subdivision development plans residential commercial industrial purposes presidential decree local government unit cosalan approval denr subdivision surveys plans pass approval council cpdo denr representatives presidential decree legal approving subdivision surveys plans cosalan said procedures approving subdivision plans surveys simple subdivision undertaken denr city government city council cpdo city subdivision flowchart procedures approving subdivision plans flowchart simple subdivision residential lots pass process required ordinance
174,UC FAMILY DAY,"APRIL 2, 2023","UC FAMILY DAY — Senior High School students of the University of the Cordilleras performed during the UC-SHS Family Day on March 30, which was timely as the Department of Education and its partners such as the Department of Health are pushing for more activities that will further strengthen the bonds between learners and their parents. — Harley Palangchao   ",family day family day department department
175,Task force focusing on mental health ordered,"APRIL 2, 2023","  Mayor Benjamin Magalong ordered the creation of a task force to implement mental health advocacies and strategic programs in hopes of addressing mental health issues that led to the increase of suicide cases in the city.
The task force will be led by the City Health Services Office with the guidance counselors of the Department of Education, mental health advocates, and the Baguio City Police Office.
It will serve as the implementing arm of the Baguio City Mental Health Council which is the policy-making body also led by the CHSO.
The mayor wanted a holistic and proactive approach in addressing mental health problems not only focused among teens but encompassing all ages and gender.
The mayor said he was no stranger to the mental health problem, having experienced the phase of guiding and protecting a family member who suffered from a depressive disorder.
“Malapit ang loob ko sa mental health issues kasi alam ko ang hirap at sakripisyo na kaakibat upang mapagwagian ang ganitong problema. We need to be patient and expand our understanding for our family members undergoing this illness. It’s the only way we can win,” Magalong said.
The mayor tasked the BCPO to help the CHSO in surveying the areas where suicide cases commonly occurred tracing back to 2017 using their Geographic Information System and the Crime Information Reporting and Analysis System.
“I want to understand the characteristics of these places so we can come up with better solutions. We might need to do structural redesigning of our facilities,” the mayor said.
Already rolling are capacity building activities to strengthen peer counseling programs especially for academe as well as information, education and communication campaigns to address mental health concerns, among others.
The helplines to call in case of emergency are CHSO – 0919-069-6361; Mental Health and Wellness Unit – (074) 661-7910; Baguio General Hospital and Medical Center Psychiatric Department – 0919-207-0736; Benguet General Hospital and Medical Center Psychiatric Department – 0917-899-8727, 0966-351-4518, and 0908-639-2672; National Center for Mental Health – 0995-093-2679 and 0918-402-9832; Philippine Mental Health Association Cordillera Chapter Inc. – 0917-517-2083 and (074) 442 2337.
Also, the city government’s 911 hotline is available to call 24 hours a day in case of emergency. – Jessa Mardy P. Samidan  ",mayor magalong task force mental health programs addressing mental health issues led suicide cases city task force led city health office department education mental health baguio city office baguio city mental health also led chso mayor addressing mental health among mayor said mental health family ang mental health issues ang ang need family magalong said mayor chso suicide cases information system information system need mayor said programs information education mental health among call case emergency chso mental health baguio general hospital medical center psychiatric department general hospital medical center psychiatric department center mental health mental health also city call case emergency
176,BCPO’s ‘Oplan Kapkap-Bakal-Sita’ ongoing,"APRIL 2, 2023","  Personnel of the Baguio City Police Office-Station 7 conducted an Oplan Kapkap-Bakal-Sita on March 24 at a local shopping center where bars are located.
The operation is carried out to ensure that areas prone to disorder, crime, and problems caused by alcohol, rage, and other factors are monitored for the safety of the public. It is conducted daily from around six until midnight.
The operations include police doing searches of customers for possible weapons such as ice picks, knives, and even guns to prevent any untoward incidents that may cause harm to themselves and others.
“Operations like this truly help because it might be a tiring procedure to the police but it assures us that we are safe. When we go out with my friends we enjoy the night because we are not scared of what danger awaits us,” a customer of one of the establishments said.
A second-year female student taking Bachelor in Forensic Science added, “This should be mandatory because there are a lot of bars in Baguio and fights are prone in these establishments; mostly there are young people here.”
“ID should be properly checked at all establishments that offer alcoholic beverages making sure that customers are truly of age. There should always be proof of legality and birthdays should be easily seen. Bars that allow minors must be made accountable for their actions as there will be an increase of juvenile delinquency in Baguio,” she added.
The BCPO is encouraging the public to enjoy their evenings out with family and friends but reminding them to always drink moderately. – Joshua Walitang  ",baguio police conducted bars prone public conducted operations police customers operations truly police friends enjoy establishments added bars baguio prone establishments establishments customers truly always bars baguio added public enjoy friends always
177,City launches free wifi for all at public market,"APRIL 2, 2023","  As part of its Smart City and full digital transformation initiatives, the city government led by Mayor Benjamin Magalong launched the free public wifi last March 26 at the Baguio public market that intends to strengthen the digitalization of transactions, trade, and communications in and out of the area.
“This is a momentous occasion for our beloved city as it marks a significant step forward in our efforts to build a more connected and digitally empowered community,” Magalong said about the project that the city has been working on in partnership with Project Lightning of the National Transmission Corporation and in collaboration with Benguet Electric Cooperative.
City Mayor’s Office chief of staff Engr. Felipe Puzon, who also oversees the Management Information Technology Division, said Internet connectivity will be available from the Baguio Market Vendors Association office up to the rice section, Rillera building, and command post.
The project is the first wifi 6 roaming mobility in the country that is free for public use and has a service set identifier or SSID that covers 1.8 kilometers under one wifi access which is backward compatible to any kind of wifi-capable phone, Puzon said.
Magalong said benefits of the project will extend far beyond the convenience of free wifi access since this will strengthen online payments and connect customers with suppliers more easily, and that probably in time, “there will be no need to even come to the market to physically purchase items.”
He said after about four months since the launch of PalengQR, only 1,200 of the public market’s 3,900 entrepreneurs, are registered in the city’s digital payment system due to the lack of Internet connectivity, thus, the need for free wifi access.
“The pandemic has changed the way we live, work, and communicate, and it has underscored the importance of connectivity and access to information. With the launch of this free public wifi service, we are taking a bold step towards bridging the digital divide and ensuring all members of our community have access to the tools they need to thrive in the 21st century,” Magalong said.
The mayor said the initiative would not have been possible without the partnership of Project Lightning, “a team of dedicated professionals who share our commitment to making Baguio City a smarter and more connected place. Project Lightning will showcase what other local government units just dream about – wifi everywhere.”
“As we launch this free public wifi, let us remember that connectivity is not just a privilege, it is a fundamental human right. We must continue to work together to ensure that all members of our community have access to the resources they need to thrive in the digital age. Let us continue to work together to build a brighter and more connected future for Baguio City,” he added. – Gaby B. Keith  ",city digital city government mayor magalong free public wifi baguio public market strengthen city step build connected community magalong said project city partnership project lightning city mayor office puzon information said internet connectivity baguio market office project wifi free public service wifi access wifi puzon said magalong said project free wifi access since strengthen need market said since launch public market city digital internet connectivity need free wifi access work connectivity access information launch free public wifi service step digital members community access need thrive magalong said mayor said partnership project lightning baguio city connected project lightning government wifi launch free public wifi let connectivity continue work together members community access need thrive digital let continue work together build connected baguio city
178,WOMEN’S MONTH CULMINATION,"APRIL 2, 2023","The observance and celebration of Women’s Month at Police Regional Office-Cordillera headed by B/Gen. Dave Peredo, Jr. culminated on March 27 with the awarding of seven female police officers and presentation of an all-women battalion formation. The event was graced by Civil Service Commission-CAR Director Nerissa Canguilan. — PRO-Cor photo    ",women police police women
179,"Baguio adopts plan, zero informal settler families","APRIL 2, 2023","  The city government of Baguio is committed to helping informal settler families have livable homes and communities.
With this monumental vision, the city government has entered into a memorandum of understanding with the Department of Human Settlements and Urban Development (DHSUD) for the implementation of the Pambansang Pabahay para sa Pilipino: Zero Informal Settler Families (ISF) program for 2028.
The MOU was confirmed by the Baguio City Council during its regular session last March 27.
Baguio City has been chosen as one of the implementing sites of the Zero ISF program. Through the program, the DHSUD targets to build one million housing units per year or a total of six million housing units in a span of six years.
In support of the program, the city government shall identify and allocate parcels of land for the development of the housing projects for informal settlers.
This program would supplement the housing projects of the city government that are in the pipeline. The city government, through these projects, envisions a healthy ecosystem for informal settlers where they can conducively live, work, and thrive.
The Luna Terraces Socialized Housing and Resettlement Project is the city government’s first housing project for informal settlers. The project will prioritize the resettlement of informal settlers in the city who are underprivileged and those located in high risk areas. Two buildings for this project are now under construction.
In his statement earlier this year, Mayor Benjamin Magalong said the city targets the construction of multi-level buildings that will accommodate 8,000 to 10,000 families in various sites. The city is continually working on the acquisition of lots within and outside the city for its housing projects. – Jordan G. Habbiling w/ reports from Aileen P. Refuerzo  ",city government baguio informal settler families city government development dhsud zero informal settler families isf program baguio city baguio city one sites zero isf program program dhsud targets one million housing units year six million housing units six program city government development housing projects informal settlers program housing projects city government city government projects informal settlers housing resettlement project city government housing project informal settlers project resettlement informal settlers city buildings project construction year city targets construction buildings families sites city city housing projects
180,6 Ifugao LGUs cited for social programs,"APRIL 2, 2023","  LAGAWE, Ifugao – Six local government units in Ifugao received recognition for ensuring the effective and efficient delivery of social protection programs and services of the Department of Social Welfare and Development in the province. The DSWD awarded the Gawad Paglilingkod sa Sambayanan (Gapas) Award for Convergence Initiatives and the Level 3 Service Delivery Capacity Assessment to the LGU of Asipulo. The Kiangan LGU is a recipient of the Gapas Award for Model LGU Implementing Pantawid Pamilyang Pilipino Program while LGU Tinoc was conferred the Gapas Award for Model LGU Implementing the Kapit-Bisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services-National Community-Driven Development Project. The Lagawe LGU is an awardee of the Service Delivery Capacity Assessment Level 3 award while the Banaue and Hingyon LGUs are recipients of the Paglaray Award for the promotion and monitoring of social welfare and development laws initiatives by the local social welfare and development office.   The Gapas Award recognizes the efforts of partners and LGUs in the effective delivery of social welfare and development programs and services. Level 3 is the highest award in the Service Delivery Capacity Assessment which measures the service delivery capacity of an LGU and local social welfare development offices in three major domains, namely administration and organization, program management, and institutional mechanism. Gov. Jerry Dalipog, together with the mayors, vice mayors, and municipal social welfare and development officers, received the awards during the awarding ceremony held in Baguio City on March 10 in celebration of the 72nd anniversary of the DSWD with the theme, “DSWD @72: Kaagapay sa Pagbangon, Katuwang sa bawat Hamon.” In congratulating DSWD, Pres. Ferdinand Marcos Jr  called on the agency to continue strengthening the government’s social protection initiatives, such as the 4Ps, unconditional cash transfer program, and the social pension program. – Florida B. Robles  ",lagawe ifugao local government ifugao received effective delivery social protection programs services social welfare development dswd gapas award initiatives level service delivery capacity assessment lgu lgu gapas award model lgu implementing program lgu gapas award model lgu implementing delivery social services development lagawe lgu service delivery capacity assessment level award lgus award social welfare development initiatives local social welfare development gapas award lgus effective delivery social welfare development programs services level award service delivery capacity assessment service delivery capacity lgu local social welfare development program mayors mayors social welfare development received dswd dswd dswd government social protection initiatives program social program
181,BCPO arrests 264 suspects,"APRIL 2, 2023","  Some 264 wanted persons were arrested by combined operatives of the Baguio City Police Office during the implementation of the simultaneous anti-criminality and law enforcement operations from October 2022 to March 23.
Based on the BCPO accomplishment report, of the arrested wanted persons, 40 are top most wanted persons while 224 are other wanted personalities.
Among the top wanted persons arrested, five are considered to be regional level wanted persons, 11 are city level wanted persons, three are provincial level wanted persons, five are municipal level wanted persons, one district level wanted person, and 15 station level wanted persons.
On anti-illegal drug operations, the BCPO conducted 60 operations during the period where 86 individuals were arrested and three personalities surrendered.
Further, 165.01 grams of shabu, 231.626 grams of marijuana and 10 pieces of ecstasy tablets with a standard drug price of P1.2 million were seized during the said operations.
On the campaign against loose firearms, BCPO conducted 79 operations where some 75 assorted firearms were surrendered, 4 firearms were confiscated and 4 persons were arrested.
The said accomplishments were achieved by the BCPO through the conduct of checkpoints and the implementation of search warrants that were issued by the courts.
On the other hand, BCPO issued some 28,405 traffic citations to violators that resulted in some P13.36 million in collected fines from the apprehended violators during the period.
Moreover, BCPO personnel conduct weekly cleanup drives in public places and tourist destinations as part of their role as deputized environmental officers.
On the government’s anti-insurgency campaign, BCPO reported 10 personalities surrendered and 2 suspected rebels were arrested. – PIO release  ",wanted persons arrested city implementation anti operations bcpo arrested wanted persons top wanted persons wanted personalities top wanted persons arrested five level wanted persons city level wanted persons three level wanted persons five level wanted persons level wanted level wanted persons anti drug operations bcpo conducted operations period arrested three personalities surrendered grams grams drug million said operations campaign firearms bcpo conducted operations firearms surrendered firearms persons arrested said bcpo conduct implementation issued bcpo issued violators million violators period bcpo conduct anti campaign bcpo personalities surrendered arrested
182,SUPERVISORY DEVELOPMENT COURSE,"APRIL 2, 2023",SUPERVISORY DEVELOPMENT COURSE — The Civil Service Commission-CAR announced the scheduled conduct of a four-day supervisory development course track 1 webinar on April 11 to 14 in line with the continuing efforts to capacitate middle managers and emerging leaders to become effective supervisors. — CSC-CAR photo   ,supervisory development course car supervisory development course car
183,CULTURAL PERFORMANCE,"APRIL 2, 2023",CULTURAL PERFORMANCE — Students of SPED Baguio performed the six cultural dances of the Cordillera as part of their annual activity held on March 30 in support of Indigenous People’s Education. — Neil Clark Ongchangco   ,cultural cultural
184,EMPOWERING WORKERS,"APRIL 2, 2023","EMPOWERING WORKERS — The Social Security System and Bureau of Immigration signed a memorandum of agreement on March 9 at the BI main office in Intramuros, Manila that will provide social security coverage to job order and contract of service workers in the government. Photo shows SSS President and CEO Rolando L. Macasaet (right) and BI Commissioner Norman G. Tansingco during the ceremonial signing that will benefit at least 800 job order and contract of service workers serving in the immigration regulatory body. — SSS handout photo   ",workers social security immigration social security job order contract service workers photo sss job order contract service workers immigration sss photo
185,"AFP, groups attend peace gathering","APRIL 2, 2023","  The Northern Luzon Command, Armed Forces of the Philippines, through Task Group Baguio, joined 2,000 individuals from various groups and sectors in the Cordillera in a gathering dubbed “Peace convention: Peace walk and peace concert” on March 29 in Baguio City.
The convention that coincided with the 54th founding anniversary of the New People’s Army aims to celebrate peace while also strengthening commitment and support for the government’s advocacy in promoting peace and development.
The program started with a peace walk from Panagbenga Park to Malcolm Square, followed by a program proper also at the Malcolm Square, where government agencies and groups from various sectors shared their messages for peace, which was followed by a peace concert performed by the AFP, Philippine National Police, and other groups.
With the theme, “Positive and experiential advocacy: Fostering concord and youth empowerment,” Baguio City Mayor Benjamin Magalong commended the youth for their contributions in maintaining peace in the city and also emphasized their greater role in peace-building.
“We in the city government are inspired by the work that the Youth for Peace Baguio has done so far for our community, from community service projects to efforts to raise awareness about important social issues.”
He said the local government relies on the help of the youth in ensuring Baguio as a safe and vibrant place for residents and visitors. He said he is confident the youth will continue their cause and assured support from the city government.
Part of the program is a signature campaign, signing of the wall of commitment to demonstrate support for the government’s advocacy in building peace and development in the city, and condemning youth recruitment into violent activism.
The Sentrong Alyansa ng mga Mamamayan para sa Bayan Cagayan Chapter, an organization of former rebels, led an indignation rally in Gattaran, Cagayan with the theme, “Talna ken Kapya: Talikuran na ang karahasan; kapayapaan ay yakapin!” – Press release  ",baguio various groups sectors peace convention peace walk peace concert baguio city convention peace also commitment support government advocacy peace development program peace walk malcolm square followed program also malcolm square government groups various sectors peace followed peace concert groups theme advocacy youth baguio city youth peace city also peace building city government youth peace baguio community community said government youth baguio said youth support city government program commitment support government advocacy building peace development city youth cagayan cagayan theme
186,"April 2, 2023","MARCH 31, 2023","  LEO CARPIO February 3, 1937 – March 25, 2023 _______________ MICHELL WACLIN CALLUENG May 6, 1975 – March 17, 2023 _______________ JOSH ANDREI WAYTAN DELA CRUZ September 3, 2001 – March 22, 2023 _______________ BONIFACIA TOM GAWIDAN “Bitbit / Beck / Bonnie / Ah-fong” August 17, 1950 – March 24, 2023 _______________ Engr. LOMINO NGAOSI KANITENG November 28, 1943 – April 04, 2022 _______________ RODOLFO F. LARANANG April 11, 1938 – April 01, 2021 _______________ REMIGIO DIGMAN ORAS November 20, 1953 – March 7, 2023  ",
187,7K tourism workers to train on PH hospitality,"MARCH 26, 2023","FILIPINO BRAND OF SERVICE EXCELLENCE — To level up the quality of service of tourism frontliners in the region, the Department of Tourism-CAR signed an agreement with tourism stakeholders including the private sector, local government units, the academe, and regional line agencies to collaborate for the Filipino Brand of Service Excellence Program of the DOT which targets to train 7,000 tourism frontliners in the region on providing excellent service that banners the renowned Filipino warmth and hospitality. — Hanna Lacsamana  At least 7,000 tourism frontliners in the Cordillera are expected to level up their skills in hospitality through trainings under the Department of Tourism’s Filipino Branch of Service Excellence (FBSE) program.
The program is a nationwide initiative to develop the country’s tourism workforce to provide excellent quality services to tourists and visitors, according to DOT-CAR Director Jovy Ganongan, who led the ceremonial signing of a memorandum of agreement on March 22 for the program’s undertaking with representatives of local government units, regional line agencies, the academe, and private sector.
The FBSE program aims to train 100,000 tourism frontline workers across the country which Ganongan said is a significant step towards radically improving the delivery of the country’s tourism services.
The program emphasizes the world-renowned Filipino brand of hospitality in the provision of tourism services, a distinct trait that if properly maintained and harnessed could serve as the industry’s competitive edge.
Those undergoing the training are those who provide service directly to visitors both domestic and foreign at various touch points namely workers at entry points such as airports and bus terminals, drivers, accommodation front desk staff, dining workers, shopping attendants, vendors, security officers, and tourist police among other frontliners who are expected to make tourists feel the Filipinos’ consistent warmth and hospitality.
The academic community has also been called to support the endeavor to ensure a ready workforce when graduating hospitality students join the industry in the future.
Ganongan said the DOT-CAR has already completed 24 FBSE trainings with 1,179 trained frontliners to date and is targeting to contribute 7,000 out of the 100,000 frontliners to be trained under the FBSE program all over the country.
“We thank our partners for responding to the urgent call to build a strong human resource foundation for Cordillera tourism industry. As you may have observed, the DOT has always regarded capacity building and skills training as critical components of achieving the vision of transforming tourism into a primary engine of socio-economic recovery for the Philippines,” Ganongan said.
She added at this time when tourism destinations in the country and worldwide are vying for better positioning to recover from more than two years of hiatus due to the Covid-19 pandemic, it is always best for all tourism stakeholders to collaborate toward the achievement of the common vision of excellence in providing tourism service.
“The success of the FBSE’s objectives is dependent on how well the region’s will respond to the challenge of pooling resources so that the program becomes a multi-sectoral effort, not just the DOT. We are confident this program could be successfully implemented in the region as dynamic as the Cordillera where the value of cooperation, collaboration and resiliency is evident,” she said.
Ganongan added they anticipate the FBSE trainings will significantly improve the region’s and the country’s image as desirable tourist destination by using the well-known Filipino warmth and hospitality among its tourism frontliners. – Hanna C. Lacsamana  ",filipino brand service excellence level quality service tourism frontliners region department tourism car agreement tourism stakeholders private sector local government units academe regional line agencies collaborate filipino brand service excellence program dot train tourism frontliners region providing excellent service renowned filipino warmth hospitality hanna lacsamana tourism frontliners cordillera expected level skills hospitality trainings department tourism filipino service excellence fbse program program country tourism workforce provide excellent quality services tourists visitors dot car ganongan agreement program local government units regional line agencies academe private sector fbse program train tourism workers country ganongan said country tourism services program renowned filipino brand hospitality tourism services could industry training provide service visitors points workers points workers tourist among frontliners expected tourists warmth hospitality workforce hospitality industry ganongan said dot car fbse trainings trained frontliners frontliners trained fbse program country cordillera tourism industry dot always skills training vision tourism ganongan said added tourism country always tourism stakeholders collaborate vision excellence providing tourism service fbse well region program dot program could region cordillera said ganongan added fbse trainings region country tourist well filipino warmth hospitality among tourism frontliners hanna lacsamana
188,FARMER BENEFICIARIES,"MARCH 26, 2023",FARMER BENEFICIARIES — Farmers’ organizations in Ifugao received farm machinery and equipment worth more than P10 million from the Department of Agrarian Reform in a bid to improve their productivity and increase their income. — DAR handout photo   ,
189,MEAT INSPECTION,"MARCH 26, 2023","MEAT INSPECTION — The City Veterinary Office and Agriculture Office led an inspection of meat and meat products at the Baguio City Public Market on March 22 to ensure the quality of the commodity being sold. The CVAO was joined by the Public Order and Safety Division, Permits and Licensing Division, City Health Services Office, and Food and Drug Administration-Cordillera. — Neil Clark Ongchangco   ",meat inspection city office office inspection meat meat city public public division division city office
190,New checkpoint levels up fisheries control in Abra,"MARCH 26, 2023","  SAN QUINTIN, Abra – A new fisheries quarantine checkpoint was established here in Villa Mercedes to aid in the monitoring and control of fish and fishery products entering the province.
This followed after the conduct of a consultative meeting with fish dealers, concerned local government units, and other stakeholders last week.
BFAR Regional Director Lilibeth L. Signey said effective April 1, all fish dealers entering Abra shall comply with necessary documentary requirements such as the local transport permit.
With the volume of incoming fish and fishery products in the province, BFAR recorded 1,888.98 metric tons of fresh, dried, and processed fishery products in 2022, which adds to the total volume of fish production in the province which is 700.28 MT to meet the Abra’s total fish requirement of 5,275.92 MT.
“This is something relevant for the bureau to strengthen our monitoring initiatives as far as entry of fish and fishery products is concerned since the establishment of a quarantine station is intended for food safety and traceability purposes. It ensures only fishery products which are properly documented, not illegally caught, and safe for human consumption reach the Cordillera,” Signey said.
Through the quarantine station, BFAR will impose strict compliance for the fish dealers to secure their respective local transport permits as required under Fisheries Administrative Order (FAO) 233. The LTP is a permit for domestic movement authorizing an individual to bring, carry, or ship aquatic wildlife, by-products or derivatives acquired from legal sources from the point of origin to the final destination within the country.
A day before inaugurating the quarantine station, a consultative meeting on regulations of domestic/local movement of fish and fishery products was conducted to orient fish dealers, local government units and other stakeholders.
Dennis de Vera of BFAR central office discussed topics relevant to the domestic movement of fish and fishery/aquatic products as well as relevant guidelines in relation to the trade of regulated species and imported fish in all public markets.
Nelda dela Cruz, owner of Power of God Fish Dealer, said they will comply with the directive as they consider such intervention will deny entry of undocumented fish products to the province. – Press release  ",abra fisheries quarantine monitoring fish fishery products entering province consultative meeting fish dealers concerned local government units stakeholders bfar signey said fish dealers entering abra comply local transport permit volume fish fishery products province bfar fishery products total volume fish province abra total fish relevant monitoring entry fish fishery products concerned quarantine station fishery products signey said quarantine station bfar fish dealers local transport fisheries permit domestic movement aquatic products quarantine station consultative meeting domestic local movement fish fishery products fish dealers local government units stakeholders bfar relevant domestic movement fish fishery aquatic products relevant fish fish said comply entry fish products province
191,Mayor orders certification reqm’t for biz permit issuance,"MARCH 26, 2023","  Mayor Benjamin Magalong has required punong barangays to issue a certification that businesses in their respective areas are not within road right-of-way, creek easement, certificate of ancestral land title, forest/watershed/safeguarded land, and identified city/barangay needs.   
In a letter dated March 21 to the barangay leaders, the mayor said the certification is in addition to the barangay clearance before the issuance of a business permit.
The directive is in line with the city government’s continuing efforts to ensure that Baguio City remains clean and orderly and all ordinances related to the same are followed.
“Please be reminded that when you affix your signature to the said certification, you have reviewed and certified that the data you provided are true and complete based on your knowledge and records of the barangay,” the mayor’s letter states. – Gaby B. Keith  ",mayor certification land land city barangay letter barangay mayor said certification barangay city city said certification barangay mayor letter
192,"LGU, DTI set ‘Rambakan’ trade fair in Ifugao town","MARCH 26, 2023","  LAMUT, Ifugao – The local government unit and the Department of Trade and Industry-Negosyo Center initiated the “2023 Rambakan Trade Fair” as part of the town’s festivities.
With the theme “Umuna latta ti Lamut iti panagkaykaysa ken balligi,” the trade fair opened to the public on March 17 and will end on April 10.
Furniture, wearables, handicrafts, processed foods, and snacks are available at the display stalls established near the municipal government’s compound and at the Tourism Village.
Executive Assistant Brenda Sawad who represented Mayor Victomar Bunnol said the event is an additional input to the economic activity and progress of the municipality as she enjoined the residents to patronize the products of the town and its neighboring municipalities.
“Congratulations to our private business partners for your efforts. Together, we will reach beyond greater heights if we will work hand in hand,” Sawad said.
DTI-Ifugao Director Engr. Francis Pacio thanked the micro, small, and medium enterprises for participating in the event and their role in uplifting the economy of the province.
“This trade fair is one aspect of helping the business sector so they can market their products and meet prospect buyers. We need one another towards our recovery. The MSMEs are the movers of the economy; they must be supported so that the gains will revert back through employment, sales and among others,” Pacio said. – Marcelo B. Lihgawon  ",lamut ifugao government trade trade fair town lamut trade fair government sawad said event products town business hand hand sawad said ifugao pacio event economy trade fair one business products one economy pacio said
193,SSS La Trinidad to bizmen: Comply with RA 11199,"MARCH 26, 2023","  LA TRINIDAD, Benguet – The Social Security System urged all business employers to fulfill their legal obligations under Republic Act 11199 or the Social Security Act of 2018 during the conduct of Run After Contribution Evaders campaign.
Recently, six employers received written orders from SSS directing them to settle their delinquencies worth P700,000. These employers consist of consultancy offices, retail stores, review centers and food establishments.
“These employers failed to remit to SSS the contributions of their 23 employees. Hence, they must settle the accumulated contribution delinquencies to maintain their workers’ active SSS membership and ensure their eligibility to social security and employees compensation benefits,” said SSS La Trinidad branch head Dominador Malatag.
Qualified SSS members may receive seven benefits such as sickness, maternity, disability, unemployment, retirement, death, and funeral. They can also avail of various loan programs like salary loan, calamity loan, educational loan, housing loan, and pension loan. On top of the benefits and loan privileges, members are also entitled to receive benefits for work-related sickness, injury, or death.
To assist employers with the delinquency, SSS offers contribution penalty condonation program with flexible payment terms-either one-time payment or installment ranging from 12 to 48 months, depending on the delinquency amount.
“Under this program, employers will pay lesser amount since the accumulated penalty will be waived after settling the contribution delinquency,” Malatag added.
SSS Vice President for Luzon North 1 Division Ceasar P. Saludo reminded employers to fulfill their obligations to avoid penalties or legal sanctions set under the Social Security Law.
“Aside from non-remittance of SSS contributions, employers are also mandated to register their business with SSS, and produce updated employment records such as payroll, contribution, and loan collection lists. We recognize our employers as partners in providing social security protection to their workers. However, it is also the prime duty of the SSS to protect the interests of their workers by ensuring their full compliance to the law and provide workers with benefits in times of contingencies,” Saludo said. – Press release  ",trinidad social security business employers fulfill legal obligations act social security act contribution employers sss settle delinquencies employers employers sss contributions employees settle accumulated contribution delinquencies workers sss social security employees benefits said sss trinidad malatag sss members receive benefits sickness death also loan loan loan loan loan loan benefits loan members also receive benefits sickness death employers delinquency sss contribution penalty program payment payment delinquency amount program employers amount accumulated penalty contribution delinquency malatag sss saludo employers fulfill obligations legal social security law sss contributions employers also business sss contribution loan employers social security workers also sss workers law workers benefits saludo said
